Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2012-10-08,Meal 2,330.0,7.1,2.0,1.5,2.5,0.0,170.0,148.0,512.0,0.0,0.0,0.0,62.0,0.8,0.0,3.0,11.6
2012-10-08,Meal 3,344.0,22.2,5.4,0.0,0.0,0.0,0.0,900.0,0.0,9.2,1.2,0.0,26.8,0.0,0.0,0.0,0.0
2012-10-08,Meal 4,1991.4,43.6,10.1,0.9,0.3,0.0,55.0,2684.6,195.0,334.9,20.6,186.6,85.0,2.0,14.0,45.0,1.0
2012-10-09,Meal 1,459.0,36.6,7.4,10.2,17.2,0.0,0.0,188.8,0.0,6.0,1.0,5.3,26.5,0.0,0.0,0.0,0.0
2012-10-09,Meal 3,1436.8,37.6,17.0,0.0,0.0,0.0,0.0,1270.2,0.0,205.8,11.0,24.6,63.6,0.0,0.0,0.0,0.0
2012-10-09,Meal 4,1140.3,81.2,6.7,0.0,19.2,0.0,35.1,3154.8,0.0,28.5,7.9,4.4,79.9,6.1,0.5,6.3,0.2
2012-10-10,Meal 1,293.4,20.1,2.3,0.0,9.0,0.0,30.5,1247.9,0.0,6.4,0.4,6.0,15.1,5.3,0.5,5.5,0.2
2012-10-10,Meal 2,458.4,9.9,1.5,4.0,2.0,0.0,0.0,479.2,0.0,31.5,2.0,1.8,56.7,0.0,0.0,0.0,0.0
2012-10-10,Meal 3,1217.6,58.8,17.6,2.3,4.2,0.0,117.6,1073.7,343.0,102.5,4.8,16.8,67.3,2.5,0.0,2.0,8.3
2012-10-10,Meal 4,805.6,22.0,7.3,0.4,1.0,0.0,20.0,1225.2,45.0,134.0,10.9,81.5,49.7,0.0,0.0,16.5,7.5
2012-10-11,Meal 1,545.0,14.2,3.5,4.3,4.7,0.0,255.0,347.0,768.0,3.0,0.0,0.0,93.1,1.2,0.0,4.5,17.3
2012-10-11,Meal 3,822.2,25.7,8.2,2.0,1.0,0.0,198.8,1221.3,1005.4,48.0,5.4,6.0,94.5,0.0,0.0,0.0,0.0
2012-10-11,Meal 4,668.9,18.3,5.1,2.1,7.5,0.0,0.0,719.9,195.0,99.9,8.2,53.5,18.9,2.0,14.0,1.0,1.0
2012-10-12,Meal 1,256.0,9.1,1.9,2.0,4.1,0.0,0.0,322.5,0.0,31.6,2.3,2.9,10.2,0.0,0.0,0.0,0.0
